term,caseName,justiceId,speakerName,text,cleanText,duration,decidedBy,arguedOn,petitioner,respondent,docket,grantedOn,decidedOn,justice,partyWinning,direction,majority,vote
1991,United States v. Fordice,108,Clarence Thomas,"Mr. Goodman, is there any distinction between a school that is small or underfunded for... as a result of educational reasons in the past and a school that is small and underfunded as a result of prior segregation? Well, your argument is that you cannot or this Court cannot make judgments or individuals cannot expect to attend fully-funded or better-funded schools. And you give as examples Delta State being underfunded. My question is if a school is underfunded as a result of prior segregation policies, is there any difference between that school and its current condition and the school that has never been discriminated against? So your argument then would have been that 20 years ago you had freedom of choice? ",mr goodman be there any distinction between a school that be small or underfunded for as a result of educational reason in the past and a school that be small and underfunded as a result of prior segregation well your argument be that you can not or this court can not make judgment or individual can not expect to attend fully fund or well funded school and you give as example delta state be underfunded my question be if a school be underfunded as a result of prior segregation policy be there any difference between that school and its current condition and the school that have never be discriminate against so your argument then would have be that year ago you have freedom of choice ,52.23,Rehnquist Court,"Nov 13, 1991",United States,Fordice,90-1205,,"Jun 26, 1992",108.0,1.0,0.0,0.0,0
1991,Evans v. United States,108,Clarence Thomas,"Why isn't it pertinent, Mr. Bryson? Our statute is quite different. It refers only to obtaining property from another with his consent under color of official right. It doesn't have a limiting factor. It doesn't say in excess of. So why isn't the $10 fee extortion? I'm not talking about that. If we refer to the Hobbs Act-- --The term extortion means the obtaining of property from another with his consent under color of official right. Well, I understand that, but the statute doesn't say that. But you will admit that on its face it has no limiting principle? ",why be not it pertinent mr bryson our statute be quite different it refer only to obtain property from another with his consent under color of official right it do not have a limiting factor it do not say in excess of so why be not the fee extortion I be not talk about that if we refer to the hobbs act the term extortion mean the obtaining of property from another with his consent under color of official right well i understand that but the statute do not say that but you will admit that on its face it have no limit principle ,37.48,Rehnquist Court,"Dec 9, 1991",Evans,United States,90-6105,,"May 26, 1992",108.0,0.0,0.0,0.0,1
1991,Union Bank v. Wolas,108,Clarence Thomas,"Yes, Mr. Graham, if there... should we look at the fees that are due each month and the interest payments? Now, I understand this is a line of credit arrangement. Is there any distinction between the fees and the monthly payments of interest, and the actual pay-down of the principal? Do the fees and the interest payments become... are they due monthly, or are they long-term debt also? ",yes mr graham if there should we look at the fee that be due each month and the interest payment now i understand this be a line of credit arrangement be there any distinction between the fee and the monthly payment of interest and the actual pay down of the principal do the fee and the interest payment become be they due monthly or be they long term debt also ,29.809999999999995,Rehnquist Court,"Nov 5, 1991",Union Bank,Wolas,90-1491,,"Dec 11, 1991",108.0,1.0,0.0,0.0,0
1991,"Morales v. Trans World Airlines, Inc.",108,Clarence Thomas,"I'd like to ask you one question, counsel. You say you're not enforcing the NAAG guidelines? If you take the Joint Appendix to page 137a, the second paragraph of the letter to the General Counsel of the Department of Transportation, it says in short we continue to support and intend to enforce the NAAG guidelines which we adopted last December. That seems to undermine what you just said. I understand that, but that's also part of the record in the motion for a temporary restraining order. ",I would like to ask you one question counsel you say you be not enforce the naag guideline if you take the joint appendix to page a the second paragraph of the letter to the general counsel of the department of transportation it say in short we continue to support and intend to enforce the naag guideline which we adopt last december that seem to undermine what you just say i understand that but that be also part of the record in the motion for a temporary restraining order ,49.42,Rehnquist Court,"Mar 3, 1992","Morales, Attorney General of Texas","Trans World Airlines, Inc.",90-1604,"Nov 27, 1991","Jun 1, 1992",108.0,0.0,0.0,0.0,1
1991,Hudson v. McMillian,108,Clarence Thomas,,,0.0,Rehnquist Court,"Nov 13, 1991",Hudson,McMillian,90-6531,,"Feb 25, 1992",108.0,1.0,0.0,0.0,0
1991,National Railroad Passenger Corporation v. Boston & Maine Corporation,108,Clarence Thomas,,,0.0,Rehnquist Court,"Jan 13, 1992",National Railroad Passenger Corporation,Boston & Maine Corporation,90-1419,,"Mar 25, 1992",108.0,1.0,0.0,0.0,0
1991,Burlington Northern Railroad Company v. Ford,108,Clarence Thomas,One question. Did you consider arguing that this venue statute violated the commerce clause? ,one question do you consider argue that this venue statute violate the commerce clause ,6.0600000000000005,Rehnquist Court,"Apr 20, 1992",Burlington Northern Railroad Company,Ford et al.,91-779,,"Jun 12, 1992",108.0,0.0,0.0,0.0,1
1991,Collins v. City of Harker Heights,108,Clarence Thomas,"Would it change your analysis, Mr. Powe, if Mr. Collins were a city prisoner, required to clean the sewers? Your workplace analysis? But where's the underlying constitutional right? ",would it change your analysis mr powe if mr collins we be a city prisoner require to clean the sewer your workplace analysis but where be the underlying constitutional right ,9.99,Rehnquist Court,"Nov 5, 1991",Collins,City of Harker Heights,90-1279,,"Feb 26, 1992",108.0,0.0,0.0,0.0,1
1991,Ankenbrandt v. Richards,108,Clarence Thomas,"Counsel, one question for clarification. Let's assume that the domestic relations exception applies to the father, respondent Richards. How does it apply to his companion, respondent Kesler? ",counsel one question for clarification let us assume that the domestic relation exception applies to the father respondent richards how do it apply to his companion respondent kesler ,14.16,Rehnquist Court,"Mar 31, 1992","Ankenbrandt, As Next Friend And Mother Of L. R., et al.",Richards et al.,91-367,,"Jun 15, 1992",108.0,1.0,0.0,0.0,0
1991,Franklin v. Massachusetts,108,Clarence Thomas,,,0.0,Rehnquist Court,"Apr 21, 1992",,,91-1502,,"Jun 26, 1992",108.0,1.0,0.0,0.0,0
